date	time	milli	price	qty	turnover	cumOpenint	yp	bid	bid.qty	ask	ask.qty	cum.qty	cum.turnover
20210421	21:00:38	500	13880	63	8744300.0	223070	13910	13880	4	13885	84	5322	737727550
20210421	21:00:39	0	13875	46	6384500.0	223070	13910	13875	156	13880	4	5368	744112050
20210421	21:00:39	500	13880	26	3608700.0	223073	13910	13875	159	13880	27	5394	747720750
20210421	21:00:40	0	13875	34	4718900.0	223074	13910	13875	178	13880	23	5428	752439650
20210421	21:00:40	500	13880	22	3053550.0	223073	13910	13875	179	13880	52	5450	755493200
20210421	21:00:41	0	13880	15	2081500.0	223082	13910	13875	181	13880	56	5465	757574700
20210421	21:00:41	500	13875	19	2636350.0	223085	13910	13875	162	13880	65	5484	760211050
20210421	21:00:42	0	13875	189	26223450.0	223022	13910	13870	103	13875	29	5673	786434500
20210421	21:00:42	500	13875	16	2219900.0	223019	13910	13870	110	13875	51	5689	788654400
20210421	21:00:43	0	13870	5	693600.0	223020	13910	13870	107	13875	51	5694	789348000
20210421	21:00:43	500	13875	12	1664600.0	223021	13910	13870	102	13875	52	5706	791012600
20210421	21:00:44	0	13870	12	1664950.0	223023	13910	13870	103	13875	43	5718	792677550
20210421	21:00:44	500	13870	6	832300.0	223029	13910	13870	113	13875	41	5724	793509850
20210421	21:00:45	0	13875	15	2081250.0	223036	13910	13870	120	13875	28	5739	795591100
20210421	21:00:45	500	13875	16	2219850.0	223043	13910	13870	117	13880	117	5755	797810950
20210421	21:00:46	0	13880	10	1387500.0	223044	13910	13870	120	13880	117	5765	799198450
20210421	21:00:46	500	13880	5	693850.0	223042	13910	13875	2	13880	115	5770	799892300
20210421	21:00:47	0	13880	39	5412650.0	223059	13910	13875	12	13880	87	5809	805304950
20210421	21:00:47	500	13875	13	1803750.0	223057	13910	13875	17	13880	87	5822	807108700
20210421	21:00:48	0	13880	6	832600.0	223061	13910	13875	34	13880	88	5828	807941300
20210421	21:00:48	500	13875	11	1526250.0	223058	13910	13875	29	13880	96	5839	809467550
20210421	21:00:49	0	13875	8	1110000.0	223053	13910	13875	24	13880	101	5847	810577550
20210421	21:00:49	500	13875	29	4023700.0	223036	13910	13870	131	13875	17	5876	814601250
20210421	21:00:50	0	13880	45	6243950.0	223038	13910	13870	136	13880	106	5921	820845200
20210421	21:00:50	500	13880	37	5134150.0	223053	13910	13875	6	13880	103	5958	825979350
20210421	21:00:51	0	13880	61	8463700.0	223067	13910	13875	15	13880	100	6019	834443050
20210421	21:00:51	500	13880	39	5411600.0	223077	13910	13875	1	13880	101	6058	839854650
20210421	21:00:52	0	13875	13	1803650.0	223084	13910	13870	130	13875	1	6071	841658300
20210421	21:00:52	500	13875	8	1110000.0	223086	13910	13870	133	13875	31	6079	842768300
20210421	21:00:53	0	13875	3	416200.0	223087	13910	13870	132	13875	61	6082	843184500
20210421	21:00:53	500	13875	8	1110000.0	223087	13910	13870	135	13875	58	6090	844294500
20210421	21:00:54	0	13875	39	5411250.0	223073	13910	13870	121	13875	21	6129	849705750
20210421	21:00:54	500	13875	43	5966050.0	223079	13910	13870	129	13875	3	6172	855671800
