signal period lambda threshold shortLambda adjust
dbook.4096 4096 0.0001692111 100 0 1
price.osci.4096 4096 0.0001692111 100 0.003375495919830218 1
kdj.k.4096 4096 0.0001692111 100 0.0008459755145691084 1
kdj.j.4096 4096 0.0001692111 100 0.0008459755145691084 1
ma.dif.10.4096 4096 0.0001692111 100 0.001689174615 1
volume.open.ratio.4096 4096 0.0001692111 100 0 1
kdj.j.range.4096 4096 0.0001692111 100 0 1
dbook.volume.open.ratio.4096 4096 0.0001692111 100 0 1
ma.dif.10.volume.open.ratio.4096 4096 0.0001692111 100 0 1
